GENE	ctrl1	ctrl2	ctrl3	treat1	treat2	treat3
Nrg1	63	36	44	84	73	70
Nrg2	2	1	1	1	1	2
Nrg3	0	0	0	0	0	0
Nrg3os	0	0	0	0	0	0
Nrg4	21	32	36	13	25	24
Nrgn	18	14	29	29	16	17
Nrip1	544	614	547	554	632	760
Nrip2	91	80	113	61	73	62
Nrip3	20	16	15	23	11	18
Nrk	0	1	0	1	1	0
Nrl	0	0	0	1	0	0
Nrm	69	61	68	52	71	83
Nrn1	4	4	6	6	1	3
Nrn1l	1	3	1	1	1	2
Nron	0	0	0	0	1	0
Nrp	3	2	1	1	2	2
Nrp1	1200	1073	1444	1246	924	901
Nrp2	123	112	114	91	117	92
Nrros	61	40	58	60	62	57
Nrsn1	0	0	0	0	0	0
Nrsn2	1	0	0	0	0	0
Nrtn	145	207	178	148	183	236
Nrxn1	2	0	0	0	0	0
Nrxn2	50	46	54	35	39	39
Nrxn3	3	8	3	3	5	1
Nsa2	271	257	295	293	315	358
Nsd1	2117	2393	2430	2424	2594	2467
Nsdhl	1070	974	1104	1090	1033	1263
Nsf	1430	1478	1552	1854	1768	2163
Nsfl1c	782	885	853	940	878	1014
Nsg1	26	32	43	30	30	21
Nsg2	36	69	70	42	23	45
Nsl1	29	35	36	30	22	38
Nsmaf	801	888	915	894	1014	1002
Nsmce1	397	497	513	503	484	621
Nsmce2	317	338	380	374	428	410
Nsmce4a	1595	1774	1958	1858	1910	2087
Nsmf	1037	1308	1251	1138	1312	1455
Nsun2	1656	1963	2017	2194	2301	2591
Nsun3	166	234	208	251	238	264
Nsun4	530	647	696	723	813	835
Nsun5	178	192	215	212	190	283
Nsun6	115	145	137	145	162	146
Nsun7	32	49	51	40	43	34
Nt5c	623	630	697	797	840	928
Nt5c1a	6	11	8	9	5	7
Nt5c1b	2	1	2	0	1	3
Nt5c2	1279	1148	1323	1394	1324	1566
Nt5c3	1042	1052	1145	1053	1103	1181
Nt5c3b	576	635	692	635	717	953
Nt5dc1	1018	1117	1232	1229	1298	1615
Nt5dc2	219	204	235	276	253	275
Nt5dc3	869	1101	944	1133	1341	1610
Nt5e	1307	1178	1607	1275	1077	1249
Nt5m	439	515	486	503	560	625
Ntan1	700	794	744	821	875	974
Ntf3	48	41	68	27	53	47
Ntf5	62	78	63	61	59	56
Nthl1	95	110	101	83	93	88
Ntm	6	3	1	2	0	4
Ntmt1	296	350	350	309	380	461
Ntn1	890	738	1052	652	613	624
Ntn3	14	35	34	20	23	20
Ntn4	1734	2002	1986	1395	1454	1589
Ntn5	0	0	0	0	0	0
Ntng1	0	0	0	2	0	0
Ntng2	39	31	43	41	23	22
Ntpcr	248	267	305	276	315	359
Ntrk1	322	423	398	336	455	496
Ntrk2	22	32	22	23	38	17
Ntrk3	36	29	23	35	24	23
Nts	0	0	0	0	0	0
Ntsr1	0	0	0	0	0	0
Ntsr2	0	1	0	0	0	0
Nuak1	247	238	249	196	222	208
Nuak2	1690	1746	2073	959	680	1276
Nub1	1613	1834	1804	1841	1913	2022
Nubp1	343	388	397	481	438	509
Nubp2	1017	1175	1149	1244	1252	1627
Nubpl	203	240	239	240	240	231
Nucb1	4688	5598	5706	5135	5447	6231
Nucb2	311	416	349	436	462	581
Nucks1	2140	2484	2662	2443	2769	2716
Nudc	1059	1183	1172	1281	1124	1347
Nudcd1	320	342	353	375	375	454
Nudcd2	620	658	739	735	695	860
Nudcd3	1397	1624	1617	1512	1671	1843
Nudt1	304	287	355	306	323	366
Nudt10	50	73	38	51	56	72
Nudt11	200	310	257	199	243	266
Nudt12	676	663	751	837	747	885
Nudt13	412	529	514	478	523	568
Nudt14	484	533	514	502	556	627
Nudt15	12	12	10	10	10	10
Nudt16	176	209	260	212	180	204
Nudt16l1	718	709	928	712	749	757
Nudt17	17	21	29	15	33	42
Nudt18	496	524	580	605	690	793
Nudt19	6017	5483	8521	4769	4569	4981
Nudt2	414	445	496	405	476	567
Nudt21	40	42	44	43	38	36
Nudt22	583	683	636	871	831	963
Nudt3	1787	2163	2084	1906	2073	2180
Nudt4	34707	47304	39966	50646	58089	68647
Nudt5	500	533	544	634	606	741
Nudt6	233	289	284	220	255	282
Nudt7	571	659	675	684	734	892
Nudt8	426	414	500	428	398	416
Nudt9	995	1155	1166	1115	1187	1328
Nuf2	68	52	58	72	58	106
Nufip1	227	304	279	260	264	342
Nufip2	1466	1699	1819	1613	1581	1569
Nuggc	7	4	3	3	1	5
Numa1	3148	3367	3341	3295	3429	3744
Numb	1297	1502	1454	1516	1509	1515
Numbl	104	113	110	120	139	128
Nup107	242	275	326	249	264	304
Nup133	428	407	462	504	484	536
Nup153	1329	1466	1478	1368	1394	1463
Nup155	337	412	494	453	468	525
Nup160	486	552	518	523	528	640
Nup188	473	623	529	552	517	579
Nup205	722	770	755	780	753	936
Nup210	601	750	662	711	788	993
Nup210l	9	5	14	16	14	9
Nup214	955	1141	963	888	984	1128
Nup35	69	73	57	49	71	69
Nup37	195	208	226	229	263	268
Nup43	179	249	211	217	211	255
Nup50	1095	1206	1220	1224	1192	1384
Nup54	288	319	339	298	306	338
Nup62	533	615	604	643	667	762
Nup62-il4i1	3	3	5	5	5	8
Nup62cl	15	4	18	1	11	13
Nup85	515	522	573	552	626	632
Nup88	1024	1176	1253	1198	1310	1425
Nup93	506	633	640	648	592	776
Nup98	1192	1258	1282	1235	1351	1369
Nupl1	473	496	493	527	563	621
Nupl2	155	159	176	200	205	238
Nupr1	183	211	223	262	303	385
Nupr1l	46	30	39	44	28	41
Nus1	7366	6002	8417	6792	5993	6237
Nusap1	135	114	158	119	104	155
Nutf2	93	132	144	156	124	121
Nutf2-ps1	0	0	0	0	0	0
Nutm1	1	4	5	1	4	6
Nvl	508	548	516	537	533	681
Nwd1	2	8	7	10	9	11
Nxf1	1824	2301	2312	1923	2107	2191
Nxf2	0	0	0	0	2	1
Nxf3	0	0	0	0	0	1
Nxf7	0	0	1	0	0	0
Nxn	253	319	338	311	335	322
Nxnl1	22	40	48	52	41	64
Nxnl2	12	12	13	13	14	9
Nxpe2	14	4	9	12	6	6
Nxpe3	377	287	649	311	290	307
Nxpe4	20	24	32	20	24	17
Nxpe5	1	0	1	0	2	2
Nxph1	0	1	0	0	0	0
Nxph2	0	0	0	0	0	0
Nxph3	23	28	34	38	21	27
Nxph4	20	18	40	14	12	9
Nxt1	229	290	269	268	248	313
Nxt2	1434	1439	1707	1361	1499	1547
Nyap1	51	54	107	78	81	127
Nyap2	0	0	0	0	0	0
Nynrin	513	486	601	572	559	635
Nyx	16	14	9	63	63	66
